name;a;b;date
Espadaña;0;1286;2020-08-01
Villaverde de Guareña;0;2751;2020-08-01
La Alberguería de Argañán;0;5862;2020-08-01
Carrascal de Barregas;0;18292;2020-08-01
Navarredonda de la Rinconada;0;3413;2020-08-01
Malpartida;0;2661;2020-08-01
Alconada;0;3814;2020-08-01
Forfoleda;0;4585;2020-08-01
Villar de la Yegua;0;7314;2020-08-01
Pedrosillo de Alba;0;6118;2020-08-01
Cantaracillo;0;4002;2020-08-01
Serradilla del Llano;0;5156;2020-08-01
Zorita de la Frontera;0;4244;2020-08-01
Molinillo;0;725;2020-08-01
San Pedro del Valle;0;1703;2020-08-01
Peñacaballera;0;2277;2020-08-01
San Esteban de la Sierra;0;4893;2020-08-01
Bóveda del Río Almar;0;5847;2020-08-01
Tejeda y Segoyuela;0;2542;2020-08-01
Fresnedoso;0;1169;2020-08-01
Armenteros;0;6107;2020-08-01
Sancti-Spíritus;0;15440;2020-08-01
Valverdón;0;6064;2020-08-01
Villoruela;0;7339;2020-08-01
La Peña;0;3563;2020-08-01
Barbalos;0;2811;2020-08-01
Pajares de la Laguna;0;2848;2020-08-01
Vallejera de Riofrío;0;1163;2020-08-01
Masueco;0;4064;2020-08-01
Doñinos de Salamanca;0;21160;2020-08-01
Robliza de Cojos;0;3919;2020-08-01
Pitiegua;0;3481;2020-08-01
Zarapicos;0;1303;2020-08-01
Alba de Yeltes;0;3291;2020-08-01
Coto Mancomunado;0;0;2020-08-01
Guijo de Ávila;0;1976;2020-08-01
Villasrubias;0;5065;2020-08-01
Sequeros;0;2414;2020-08-01
Boada;0;5476;2020-08-01
Navamorales;0;3037;2020-08-01
Villar de Samaniego;0;1948;2020-08-01
Tardáguila;0;4332;2020-08-01
El Milano;0;2943;2020-08-01
Hinojosa de Duero;0;8577;2020-08-01
Cantalapiedra;0;8668;2020-08-01
San Cristóbal de la Cuesta;0;9495;2020-08-01
Castellanos de Villiquera;0;10856;2020-08-01
Peralejos de Arriba;0;2119;2020-08-01
Villaseco de los Gamitos;0;5637;2020-08-01
Vecinos;0;4433;2020-08-01
Aldeanueva de Figueroa;0;6038;2020-08-01
Coca de Alba;0;2558;2020-08-01
Canillas de Abajo;0;2352;2020-08-01
Aldeaseca de la Frontera;0;4579;2020-08-01
Abusejo;0;6367;2020-08-01
Puente del Congosto;0;9978;2020-08-01
Ventosa del Río Almar;0;4197;2020-08-01
Ledesma;0;17583;2020-08-01
Narros de Matalayegua;0;3535;2020-08-01
Huerta;0;4645;2020-08-01
Cristóbal;0;2310;2020-08-01
Martín de Yeltes;0;8499;2020-08-01
Villasdardo;0;1678;2020-08-01
Encinas de Abajo;0;7711;2020-08-01
Bermellar;0;3914;2020-08-01
La Mata de Ledesma;0;2627;2020-08-01
Membribe de la Sierra;0;2672;2020-08-01
Navalmoral de Béjar;0;1921;2020-08-01
